time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1786280627999733500,346.1797333984375,38.580308789387345,0.9419466297557652,7.256980912628731,51.81448849720997,38.99030878581107,346.9356689453125,6.375124682581718,3,46.40038964110845,12.722511662958574
1786280628999741000,347.1797409667969,38.91754890419543,1.1513081647418444,7.257651228282555,51.81459929683984,39.32754890061915,346.9356689453125,4.813933192617452,3,46.400348161552486,12.951082264620926
1786280629999748600,348.17974853515625,38.5150912264362,1.8807338754887848,11.800781193246461,51.81471591459791,38.92509122285992,346.7320861816406,3.3973179499214496,3,46.40030395772091,12.91380286001102
1786280630999757600,349.1797575683594,38.43708139285445,1.5431855877740837,9.734710145090443,51.8148265138606,38.84708138927817,346.7320861816406,4.134157177462301,3,46.40023905892541,12.844914723904987
1786280631999765000,350.17976489257813,38.1273486437276,1.1947916736382622,7.25886661737807,51.81497900588063,38.53734864015132,346.7320861816406,7.111450723766652,3,46.40023331555067,13.8257153840331
1786280632999773400,351.1797734375,37.555477485992014,1.1457955498703034,7.289514743279266,51.8150854002876,37.965477482415736,346.7312927246094,6.081805636167814,3,46.40018934225982,12.735497323325065
1786280633999781600,352.17978173828124,37.361301395110786,1.0982065839449904,7.7420627984914,51.81519399472179,37.77130139153451,346.7312927246094,5.602480603920488,3,46.4001643528918,11.49276483989158
1786280634999790800,353.17979077148436,38.26710794027895,1.1442712389001102,8.828841709123312,51.81528233530414,38.67710793670267,346.7312927246094,4.906112084710697,3,46.400139501531974,10.499369849400109
1786280635999797800,354.1797978515625,39.220484629273415,1.199491174735162,11.07693734194367,51.81531866067028,39.630484625697136,340.2348937988281,5.701681751772995,3,46.4000797248789,8.76177221083194
1786280636999806500,355.17980639648437,40.380010141059756,0.9546095680261039,9.872615230664321,51.815369310488215,40.79001013748348,340.2348937988281,4.885776916479274,3,46.40005035927348,7.8010587314496735
1786280637999813400,356.1798134765625,41.84142145793885,0.9020885469232726,12.67228939086535,51.815382049044516,42.25142145436257,340.2348937988281,4.3732286537082095,3,46.40004297357708,5.623207903129414
1786280638999821600,357.17982153320315,41.112809497863054,1.4308326168794643,23.032742019665033,51.81539389364062,41.522809494286776,338.9725646972656,4.375371457991147,3,46.40000509702266,5.029549390745449
1786280639999829000,358.1798291015625,41.68169783428311,1.1020685125225886,19.66821650260793,51.81540513204419,42.091697830706835,338.9725646972656,4.353127138986391,3,46.40000139635061,4.51444371685062
1786280640999838500,359.17983837890625,41.112354721874,1.1650959223465673,15.568906928685383,51.81526133853483,41.52235471829772,266.3218078613281,12.994366514165705,3,46.399841648634386,6.058692381443122
1786280641999846400,360.1798464355469,40.985811782069504,1.1428096973703898,10.099398282307886,51.81525361387909,41.395811778493226,266.3218078613281,13.130626750442564,3,46.3996477910108,9.167060699128996
1786280642999853800,361.17985375976565,39.9043252132833,1.28440880606009,10.184234145242106,51.81524696311472,40.31432520970702,266.3218078613281,12.725523313080801,3,46.399480866255956,10.216622338834483
1786280643999861200,362.179861328125,39.25662024784833,1.282450125016638,8.078261676825296,51.81523613720815,39.66662024427205,266.3218078613281,6.255579065259482,3,46.39920915016024,12.859296961317037
1786280644999870700,363.17987060546875,39.613450517877936,1.1950018912664169,7.258954750580218,51.81523912652925,40.02345051430166,266.3414001464844,8.0660612623792,3.939787737036539,46.39893656423419,14.905216063149188
1786280645999878700,364.1798786621094,39.14973928313702,1.1022632516356454,7.257650666981244,51.81521499550452,39.559739279560745,266.3414001464844,9.643065968466813,4.692357669200259,46.398720619091925,14.75132986840355
